review,rating
"Alhamdulillah paket udah sampai
package rapi 
isi komplit ya
dan Alhamdulillah bisa nyala dan lumayan lah hasilnya
kurir ramah.
good job pokoknya lazada 👍👍 

3 kali paket berturut-turut gak ngecewain",5
"saya sangat kecewa karna kamera tdk bisa dipakai dn tdk bsa dikmbalikan,saya minta dikembalikn uang saya,bisa dipakai hanya klo di cas saja, jika casaan ny saya lepas kamera mati tdk bisa dipakai sama sekali",1
saya kecewa pengiriman udah lama bangett  camera nya ngga bisa di guniin di keterangan ada wifi nya kok pss udah dateng camera nya ngga ada wifi nya sih gi manah sih apa mau nipuh nih ngga sesuai di di gambar dengan keterangan nggak jelass,3
"barang baru sampe, pengiriman nya lambat yg harus nya tgl 18 Mei sampe sekarang baru sampe, kurir nya kurang sopan masa paket nya di lepar, terus kamera nya juga gak bisa gunakan, cuman berwarna putih saja layar nya ",1
"manatapu jiwa pesen dua yg satu rusak, 
tapi tenang bisa di balikin kok. belanja di toko ini rekomended buat agan2 n sis. ありがとございません",5
"bungkus paket agak koyak sikit. Tapu alhamdulillah isinya masih komplit, kurir ok lah. makasih Lazada",5
"Alhamdulillah sesuai gamabr.
Barang lengkap tidak ada yg kurang.
Kamera nya juga nyala.
Untuk kualitas gambar yaa dengan harga segitu sudah pasti tidak seperti yg kita harapkan.",5
"pengirimannya cepat alhamdulillah,,, udah dicoba barangnya bagusss,,, syaangnya ga ada memori ya wkwkwk,, gakppa asalkan barangnya sampai dengam selat,, thx lazada",5
"mantul ,barang mendarat sempurna walaupun kurang komplit. sukses terus Jang bikin pelanggan kecewa 👍 kurirnya juga ramah 🤟


thx: Lazada",4
"barang nya sudah sampai min...thank you ya,,pengiriman sangat cepat....tapi kas h belum liat isi dalamnya....lain kali bklan order lagi deh...mantap jiwa pokoknya..
",5
barang sudah kami terima camera sudh di cek nirmal smua sesuai sma gambar seperti biasa pengirimya ya juga orang ya asik baik ramah mantep trimkasih seller dn lazada ,5
Peking rapih... Untuk kualitas kamera tidak Terlalu jelas Hitam putih... Iya tidak apa2 sesuai dengan harga... Makasih lazada,5
"packing bagus, ga ada yang cacat, pake double wrapping 2 lapis. baterey full, kamera utuh, tapi saya harus beli lagi microsd card 32gb. anyway insya allah puas 100% and recomended.",5
"terima kasih lazada, alhamdulillah barang sesuai dengan harga, sayangnya pesan yg silver kirimkan yg hitam",5
nggak bisa ke pake padahal sudah di kasi masuk kartu SD rugi saya bellinya hanya gaya doang klw di lihat dari luar,1
"meski belum digunakn namun barang sudah sampai ditujuan dengan baik cuma kardus/kemasan serta pengepakan tidak sempurna dan kurang memperhatikan rentannya barang bila terbentur atau tertindih barang yang lebih berat, pengiriman cepat ",5
"Lengkap sih. Cuma kualitasnya sepertinya bukan HD. Dan lensa kameranya goyang.
Sedikit kesal. Tapi apa boleh buat. Kurirnya baik gak mungkin di cancel",5
"barang udh diterima dan udh test nyala tp blm coba ketahanan baterai
maaf cm kasih bintang 3 krn layar udh gores2 seperti brg bekas (padahal dtg dalam kondisi di dlm waterproof case) dan sedikit kecewa krn bukan layar widw seperti ditulis dlm spek. but overall ok",3
"barang sudah sampai.. tapi tidak sesuai sama yang di harapkan.. kameranya tidak cekung, baterai nya cepat habis, warnanya jadi pudarr kalo di pake. bagaimana ini? mohon tanggung jawab nya dong kak",1
"Barang telah mendarat dengan baik dan aman, packaging rapi, layanan sangat baik, barang dapat bekerja dengan baik, hanya saja kualitas gambar nya saya rasa kurang baik. Tapi secara keseluruhan bagus kok",5
"Parah baru datng pas di buka lecet layarnya , trus tempat tutup batre tidak pas , batrenya punya cepet abis blm ada stngh jam  udh abis hrus cas lagu",2
"Barang sudah sampai sangat cepat dan pesan dua barang sampai barengan,kurir top... Trimkasih lazada.. Sukses",5
lumayan bagus....,3
"kameranya kurang lengkap ga pala cajer , terus pokony kurang lengkap , ",2
batre bocor di kasih payah lah nih toko sumpah ,1
"netral barang ya
",3
kameranya agak gabur min,5
"kurang bagus kwalitanya aduh mengecewakan lah pokoknya, Pas foto aja masih agak² tidak hd kameranya:v 
#TRIPORTNYA SAYA BELI SENDIRI !",1
"peking rapi dan sesuai dengan di gambar,,kurir nya juga ramah,,makasih lazada saya sangatlah puas dengan barangnya dan pelayanan dari lazada semoga tetap seperti ini lazada sukses untuk lazada dan toko nya....",5
"alhamdulillah barang sampai dengan mulus,berfungsi dng baik,ngk nyesel deh bli disini,eheheh cukup dng harga segitu",5
barang sesuai komplit pengiriman cepat pokonya jngan ragu deh v ada satu yg d sayangkan micro SD nya nggk ada tapi bagus ko ini gambarnya jg sesuai lah sama harganya ,5
"brang nya bagus ,pengiriman cepet dan mantep semuanya..syang lom ngerti pemasangan dan pengaturan buat kamera nya...tpi semua nya mantappp",5
"barang bagus, sesuai dengan harga. 
aksesoris lengkap. 
tapi tolong packing nya agak dilapisi stereofoam, karena  kontaknya mudah hancur & gampang penyet, agar meminimalisir kerusakan barang  nya. trims... 🙏👍",5
maaf gan Mau Tanya knpa yah memori Nyah kan saya Masukin kehp eh Video Yg di pas Di kamera gk bisa di buka ?,4
mntap,4
paket tiba dengn slamat barang.a lengkap tpi blm dicoba krna mati lmpu trima ksh smg sukses sllu..,5
Sangat bagus barangnya,5
"paket sudah di terima dengan kondisi baik. belum di coba. semoga berfungsi normal.
",5
makasih boss qu...barangnya sesuai,5
"pengiriman cepat,mudah"" an berpungsi semua camera nya,soalnya belum dicoba, terimakasih lazada terimakasih olshof 🙏🙏",5
"barang bagus, sesuai dengan gambar",5
"kecewa banget egk ada wifinya jdi mau di pasang di hp tidak bisa mending engak usah beli klou kyak gini
",5
"Terima kasih  Lazada brg nya sd sampai n dlm kondisi tdk apa2 meskipun dlm dusnya aga terbuka sedikit
yg ke.2 kalau bs tolong di cek dgn teliti ya,sist/ ms bro
karena Tombol atas kamera krg st'
agar brikut2 tdk terulang lg ya n lebih baik lg ok itu aja sih saran dari saya.
Terima kasih jg bwt seller nya dan
kurirnya yg ramah ",5
"Terima kasih  Lazada brg nya sd sampai n dlm kondisi tdk apa2 meskipun dlm dusnya aga terbuka sedikit
yg ke.2 kalau bs tolong di cek dgn teliti ya,sist/ ms bro
karena Tombol atas kamera krg st'
agar brikut2 tdk terulang lg ya n lebih baik lg ok itu aja sih saran dari saya.
Terima kasih jg bwt seller nya dan
kurirnya yg ramah ",5
"barang nya berbeda 

",1
udah sampai....mksh,1
Barangnya sesuai bungkusannya rapih suka benget deh... Ga nyesel udah harganya murah barangnya bagus seneng pokoknya terima kasih,5
maaf br kasih ulasan barang udh sampe bagus to sanyang pesan ya wrn perak yg datang wrn hitam.tp GPP yg penting kwalitas barang ya bagus.dan pesan ya harap diperhatikan untuk pesanan ya klo yg di pesan wrn apa hrs sesuai ,5
"Barangnya mendarat dgn sempurna..kualitas bagus..komplitt..lengkap...baru semua..
Gk ada kejelekan..
Mantaplah pokonya...
Sukses teruss...
Thanks ...",5
barang bekas dijual pantesan harga segitu,5
top buat seller dan driver nya..cepat pengiriman nya..dan orsinil barang nya pokok nya ndak ngecewakn..,5
sungguh kecewa barang gak nyala packing rusak pkonya saya sangat kecewa banget 👎😠 barang sampah kok di jual,1
klau jualan yg bnr pak bu batre bekas diksih..masa bru semenit udh abis..tolong bu pak yg konsisten klau bedagang!!!!!!!,5
"bagus saya mau warna hitam tapi yg datang warna lain 
tapi nggak papa yg penting bisa digunakan",5
"barang nyampek dengan selamat, kondisi normal dan sesuai dengan harga tpi pengiriman nya agk lama,kurirnya juga ramah",5
"Barang cepat datang, pelayanan baik, cumaa barang nya konsedikit enggak full kaya di foto? Jual nya dengan jujur biar banyak yang sukaa...",3
"alhamdulilah barang nya nyampe bagus, berfungsi dengan baik
tapi yang datang knapa warna biru saya pesen kan yang warna hitam",4
"Barang jossganjoss 🤗🤗🤗
Walaupun slow respon lewat chat, barang datang dalam kondisi tertata rapi 👌👌👌
The best dehh pokonya 😎😎😎",5
"maaf, kalo kita pesan barang,  kasilah yg bagus yah. 
soalnya kita beli dengan uang. 
kamera yg kalian order rusak Lsidinya ganguan
dan camera nya jga bukan HD tapi gambarnya kabur baget. ",5
"Barang rusak, gak bisa nyala, bagaimana ini seler, ganti dong, barangnya, atau kembali uang. ",2
cm bisa video doang + non kamera + di pasang micro SD malah off...!!!,3
ah kameranya ngga nyala gmna ini boss ku,5
"Terimakasih barang mendarat dengan sempurna...
ga ada cacat camera nyala..
sesuai pesanan",5
"alhamdullilah brang dah dtangg...
tpi blmm di buka,entah bgus atauu ngakk branggny",5
"packing rapi,barang mndarat dngn mulus",5
Biarkan bintang yang berbicara  gan.. Mantap barang nya sesuai pesanan tingkatkan bosku ,5
"puaslah dengan harga segitu, thanks",4
"Pengiriman cepat, tp kualitas kamera jelek banget",2
Bagus sesuai spesifikasi. Walaupun memang batrenyabkosong haris di charge terlebih dahulu. Intinya saya cukup puas,5
"Semuanya bagus,cuma kok kameranya itu lo ngeblur buat fto,aku kira jga pake wifi dihp ternyata enggak,agak kecewa dikit si",1
Packing bagus cmn dusnya penyok tpi barang tetap mantap satu lgi dideskripsi tertera dapat memori 32gb tapi kok gak ada tapi mantaolh untuk harga segitu,5
hasil fotonya mantep,5
"Barang sesuai pesanan.
Penjual kurang baik, dikarenakan tidak bertanggung jawab disaat kiriman pesan sudah tiba dimana.
Tidak ada loyalitasnya dari segi fisik mana pun.
Tmks.",3
alhamdulillah barang nya keterima dengan mulus dan bagus. trima kasih lazada,5
"Paket sampai tadi siang..baru bikin ulasan malam""😅..barangnya mantul👍👌",5
kamera tidak ada yg rusak bagus sesuai dengan gambar tapi belum d coba belum sempat terima kasih all,5
sampe dengan alamat bos....👍,5
pengiriman cepat. cuman proses pemesanan agak lambat..  packingan bagus tapi kota nya penyok tapi gapapalah yang penting camera berfungsi sempurna masalah kualitas hasil sesuai dengan hargaa,4
"Paket nya rapi ,tpi yg saya pesan abu² yg dteng putih,tpi gpp mantep ,kurirnya jg baik sopan di anter smpe dpan rumah mantep",5
"barang udh terima tp blm d buka,. mudah2an memuaskan ya",5
"trmksih lazada topp pokokny barang bgus paking rapih,,d cepat",5
sesuai sama harganya mntp👍🏻,4
"kualitas kameranya gak baik. 
tp sesuai dgn harga. mantap mkasih",5
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍Mkashhhh lazadaa🤗😍😍😍😍Kulirnya baik ramah sopan🤗,5
pesen 2 kok yang satunya redup yaa. gimana caranya return? terima kasih,3
alhmdllh paket mendarat malam ini dgn slamat....langsung unboxing n masih binggung cara pakai.y 😁 ,5
baru sampai mdh2 an mau ,5
paket dah datang pakingnya bagus rapi ?????cuman ada tombol ya rapih,5
kamera ny g kepake buram ,1
"barang sesuai pesanan
makasih uat tokonya
lazada dan kurir nya☺️☺️☺️",5
barang ok sesuai dengan pesanan,5
"Videonya kok gk bisa diputar di hp
Respon donk gimana cara putar di hp?",5
"barang sudah sampe baru ak bukak kok dah pecah di dala...trus aku mau coba gk bisa d buka..
",5
"barangnya tidak berfungsi, tidak hidup",2
Sesui apa yang di tawarkan ,5
tak sesuai harapan tapi dgn harga sgtu tak Apalah lumayan buat pajangan dirumah,1
"camera nya Oke tpi bagus buat Vidio doang, kalo buat foto hasil nya kurang bagus",5
"mf baru sempet...alhamdulilah barang dah nyampe lumayan kualitas bagus



",5
barangnya SDH terima cmn hasil gambar tak memuaskan,5
g ada gambar nya nasib,5
sangat kecewa barang nya tidak sesuai warna dan di coba hasil nya jelek,2
"barang nya kondisi on, tapi syng nya mengecewakan, casing nya lepas, dan pecah",2
trims lazada barangnya udah nyampek tapi  belum  di coba mudah  mudahan  hidup dan  bisa di pake,4
"pokonya rekomen banget dah , masalah kualitas gambar sesuai dengan harga ",5
"ngco moting""nya pada ilang""an dan bungkusanya dah keadaan kebuka dan lecek""",5
"barangnya sdah sampai makasih 
mantap jiwa",4
"Mantap bang!!!
",3
"book aman  paket lengkap 
mantap lahh rekomendasi bangett 
biar bintang yang bicara",5
ok trimakasih lazada jg seler barang ny udah sampai dengan selamat memuaskan sesuai harga..,5
puas sama barangnya🙏,5
gk bisa dipake wat rekam vidio bisanya hnya suara n foto.,5
"g ada Wi-Fi,mayanlah untuk pemula,sesuai harga>1300 sama ongkir kabanjahe",5
kamera nya cakep tapi ada yg ilang dudukan nya tapi GK Masalh udh saya lem hehehe,5
barang sampai.barang bagus .tapi lama sampai nya,4
alhamdulillah bagus,4
Alhamdulillah  lancar biar  bintang yang berbicara  barang nya cepat sampai ,5
"Barang nya sudah sampai, tpi gak ngerti gimana caranya masang hahah ",5
"untuk paket cepat yampe 
",5
pakingannya rapi barangnya tak ada cacatnya pokoknya mulusssssss 👍👍👍👍👍👍,5
"pesanan sudah diterima, pengiriman lumayan cepat, respon seller cepat, mudah2an awet",5
MANTAB gan . tangkyu lazada,5
"bagus,pengirimannya cepat bgt ,kurirnya baek,dan ramah dan jg free ongkir😂",5
"bagus kameranya,pengiriman cepat,beli malem sabtu senin pagi datang ",5
barang sudah di terima..packing baik pngiriman cepat...trimaksih,5
OK DEH ..... SIP BARANGY DAN KUALITASYA ,5
"Sangat memuaskan, terimakasih,,,",5
mantap barang sampai tujuan dengan aman dan bagus cuma rusak kemasannya,5
Tidak seperti yg saya inginkan... Dan alat yg tersedia juga kurang banyak,3
barangnya oke... makasih,5
"Mantap, sesuawai dengan yg di pesan",5
"barang sampai, bagus",5
bisa lah buat rekam kegiatan tapi agak buram ,4
barang bgus. mantul deh pokok nya. makasih lazada,5
"batrenya soak,, 😄",3
"Barang rusak, tidak mau menyala jgn beli disini barangnya rusak",1
bagus,5
barang sudah sampai tapi peking nya kurang memuaskan,5
"Bateray cepat lowbat,  camera juga kurang bagus. ",5
mantap x kk ,5
realpict bngt trma ksh lazada,5
"Makasih lazada, barang nyampe dgn cepat, dan komplit semua:) ",5
"mantap lah bsrsngnya bagus,
di terima dengan aman ",5
"alhamdulillah barang lengkap,pokoknya josssss",5
barangnya sesuai pesanan real pic packingnya rapi juga kurirnya ramah,5
"lecett di ketikan pinggir nya, agak nyesell 😐 ",5
uh masok pokok nya,5
ga bisa di mode wifi buat sambung ke hp,2
"barang oke, nyala",5
mantul gaes ,5
ayo belanja di lazada barang nya bagus dan harga terjangkau,5
"kurang bagus kameranya burem 
sangat kecewa..",1
"Sesuai hargalah, utk gaya2an bolehlah..",3
"paket telah mendarat dengan mulus barang ok siap buat berpetualang
sangat puas bos....
",5
kualitas video jelek,1
barang sesuai pesanan. tapi dus penyok semua,5
"barang sesuai gambar
kemasan rapi
tapi soal foto biasa lah sesuai dengan harag",5
enggk disarankan,1
"kecewa jangn beli d toko ini
",5
komplit mantul,5
"Makasih kak, kameranya udh nyampe!!",5
knp gx bisa konet wifi,1
Barangnya Bagus Makasih😍,5
apa apa ini kamera udah lecet nggak hidup kamera nya nyesal aku beli nya,5
"kameranya kurang bagus, tdk ada wifi",5
ini harus pake memori kosong/gimana ?,5
saya kecewa sekali hasil gambarnya masih blur juga saya sangat kecewa ,1
knp kamera sya gak bisa di cas? ,5
tiba dengan selamat,5
Paket komplit kamera berfungsi dengan baik. Untuk kualitas gambar sesuai dengan harga produk,5
mendarat dengan selamat😁makasih lazada,4
sudah 2 jam saya cas tetapi kenapa ga bisa di nyala juga..,2
barangnya bagus,5
Keterangannya ada Wifi-nya tapi pas udh Dateng Gaada Wifi-nya gimna si nyesel gua beli ,2
rusak woi.ada yang patah 😡,1
mntb pesanan sesuai gambar ,5
Gak ada kepala cas woyy..  Waduh jualan yg bnar bisa gak... 😑😬 ,2
"aksessoriesnya tidak lengkap, tali kepala hanya sebelah
",5
"pengiriman lama, warnanya tidak sesuai, dan tidak lengkap, gambarnya bercak bercak ",2
real pict mantapp👍,5
barang mantap walau pengiriman lama tapi tepat dengan batas estimasi goodlah pokoknya,5
brang ok.cman lama ngirimya.,5
kirain ada WiFi nya eh malah ngga ada Poto nya juga kurang bagus,4
"thanks you barang udah smpe,, cuma ini bisa gk ya lngsng msk ke hp",5
Terimakasih barang nya mantul,5
gk sesuai krena tutup batrai nya ada yg patah,5
Ga bisa konek ke wifi,1
ga lengkap smua nya....bnyak yg lecet nya,1
kecewa jelek hasilnya foto dan eror.hanya modelnya aja yang bagus,1
barang bagus tapi agak lama kirimnya😊😊😊,5
kecewa bngt . kamera tidak layak di gunakan,1
mantaapppppp pokoknyaaaaaa...langganan ya bos quuhh,5
sesuai harga barang nya bagus,3
lumayan bagus.  ,5
"kamera nya cpt sampai nya ,tapi kamera nya agak gelap
",5
bukan hanya murah tapi kwalitasnya bagus bgt berfungsi semua rekomended,5
mantap,5
kamera nya jelek kabur seperti hp murah,5
mudahan awet lah ,3
Bagus dan packing rapih,5
"bagus, pengiriman juga cpt",3
"Kualitas produk lumayan bagus, pengiriman cepat dan aman sampai tujuan.",5
bagus barang nya tidak mengecewakan!!,5
"sumpah recomed bgt , brang mulus ",5
Pokoknya top,5
keren banget kak cuma kurang dari memory nya kga dapet ,5
ya gitu lah...,5
mantab sesuai dengan pesanan ...sukses sllu ya toko nya Nex time aku order lagi,5
"Brg bagus pkt rapi dan agak lecet tapi gk papa
",5
lumayan bagus pengiriman cepat cuma ada beberapa yg kurang barang nya ,5
barang bekas yg di kirim,5
kameranya bagussss,5
Kak knp ya kalau di cabut chasanya kameranya mati kalau gak di cabut kameranya nyala ☹️,5
"mantep lah pko nya dngan harga segitu
pengiriman cpat mkasi",5
bagus sekali.pengiram agak lbat,4
"Mulus si, tp ko ga keluar"" menu nya bulakblik video n camera mulu, gmn nih solusinya",5
"lumayan lah walau hasil ga bening 
",4
gambar bagus ,5
"sangat bagus
",5
ga ada wifi nya,5
Sesuatu dgn harganya.,5
Buruk tk sesuai,1
mantaf...brang sesuai order...cuma kamera nya agak burem sih...tpi mantaf lah murah...,5
"barang aman tapi aksesoris nya ada yang kurang 
kek mana nih",5
pengiriman nya lumayan cpt.. ,5
brg bgus mantap👍,5
kameranya cuma layar putih,1
Video tidak dapat diputar dan tidak lengkap hasil pas pasan,2
TERiMA KASiH ATAS KEPERCAYAANNYA ,5
nice real pic,5
mantapp👍👍👍👍👍 dan sesuai harga nya jg barang nya.. GoodJob,5
"Barang bagus,cuma kok harus sambil di cas trs yah?",4
layarnya baret ,1
"bagus,  sesuai pesanan",5
mantap dah,5
Pesen putih yg datang hitam .. Nggak jelas NICh !!!! Lama pula datangnya ...,1
vidio tdk bisa di putar,1
semoga awet,5
"barang ok,g da yg cacat,cm dus'a j pengok,tp g pp,,,,",5
"kamera nya tdk baik, video nya avi tdk bisa dibuka di hp gara2 trlalu rendah spek nya",5
"mantap, sesuai pesenan ",5
"bagus sekali  hasil foto juga bagus
pengiriman sangat cepat",5
terimakasih.barang sudah sampai..barang sesuai pesanan...packing nya rapi..,5
mantap jiwa pengiriman cepat packing rapih,5
kameranya burem,5
"pas dateng paket gw seneng bangetttt tapii,,, dalam kleaadaan mati,, nah lasung deh gw cass ta ",3
kurang memuaskan... dapet kw sisan.. nggk ada logo koganya,5
"barang bagus, pokoknya oke bgt dah👍👍👍",5
Tali pengikatan kurang,5
bagus sih bentuk nya cm kamera nya burem gak ada warna,5
kamera nya ga berjalan dngan lncar,5
lumayan lah klo buat video jalan2,4
"Barangnya baguss dan keren, harganya murah kualitas menjamin terimakasih lazadaa",5
"kecil bagus jg, tapi gk sesuai pesanan,aku pesan warna silver datang warna putih, tpi gpplh",3
"Alhamdulillah barang sudah sampai rumah...
packing rapi, barang oke walau blm di gunakan, semoga semua bagus... kurir baik
Makasih seller dan lazada...",5
barang nya udah sampai 👍 pengiriman nya cepat packing nya juga rapi kurir nya juga baik pokok nya ok,5
"barang telah mendarat dengan baik, sesuai pesenan rel pick, tanks lazada, seller dan kurirnya semuanya",5
"sumpah gak nyesel belanja disini, dan ni udh yg kesekian kalinya saya langganan di lazada...thanks seller barang sesuai di gambar,dan untk kurir yg anter udh langganan banget :)",5
"pengiriman cepat ,smp dengan selamat, pengemasannya jg rapi, kurir nya udah langganan, ok semua pokoknya ",5
"barang nya sudah datang pengiriman lumayan cepat barang nya ok berpungsi dengan baik tapi saya kecewa sama kurir nya kurir nya ngga sopan kurang ajar ngga lgi"" pake jasa lex id ",2
"brangnya bagus 
berfungsi dengan baik 
thanks seller dan lazada 
tapi kalo charger gatau idah penuh apa nggk soalnya ga ada tanda2 nya 
overall mantul sih..",5
"alhamdulilah barang sudah sampai dengan baik pengiriman kemasan baik sudah dicoba bagus bisa berfungsi walau ada sedikit kendala agak kendor bila dipasang ke galon harus dibantu lagi agar kencang tidak mudah goyang-goyang tapi lumayan dengan sesuai harga,.... terima kasih",5
"mantul.brg sesuai pesanan,pengiriman cpt lngsung pakai..Trmksh,Lazada👍🏻🙏🏻🙏🏻",5
"👍 Paket sdh diterima sesuai orderan.
Terima kasih...",5
"estimasi pengiriman cepat, barang aman, packing rapih, kurir ramah... ",5
barang berfungsi dngn baik... kurir ramah god job 👍,5
"alhamdulillah barang udh sampai dan berfungsi dengan baik pokoknya top deh...
",5
mantap puas deh makasih lazada,5
suka sama kiriman nya... dg harga segini bagus bgt,5
mbak ko pompa galon'a g nyala sih,5
"barangnya sudah sampai dan berfungsi dengan baik.. semoga awet ya
",5
makasih lazada barang nya real pick,5
suka banget,5
barang bagus sesuai pesanan. terima kasih,5
makasih barang sudah nyampek dan berfungsi dengan baik mantap lazada,5
alhamdulillah pompa ya sudah dtang..  tarima kasih.. ,5
"paket uda nyampek bos...
mantaaabb.,...",5
realpict semoga awet,5
"Paket Telah Diterima Dg Lengkap, Tinggal Di Tes Satu Satu Semoga Semua Berfungsi Dg Baik.",5
"barang dah sampai sebelum estimasi
makasih seller n Lazada",5
"Alhamdulilah,,, paket dah smpe dengan selamat, mksih lazada seller dan kurirnya,,, ",5
barangnya masih tersegel saat diterima. berfungsi dengan baik. makasih seller 🥰🙏🏻,5
"Barang udah di terima, di coba berfungsi, moga awet",5
berfungsi dengan baik,5
"joss....
sukaa pokoknya",5
bnr bnr puas sangat realfict,5
